,index,date_id,region,Biomass,Dam Hydro,Geothermal,Hard Coal,Lignite,Natural Gas,Non-renewable waste,Nuclear,Oil,Other fossil fuel,Other renewables,Pumped storage generation,Run-of-River Hydro,Solar,Wind offshore,Wind onshore
0,0,2022-10-01,Germany,4627.81,74.94,20.81,3206.2,11722.52,5083.37,1157.48,4001.62,30.78,570.09,305.75,71.0,2085.35,0.0,4708.63,23117.49
1,1,2022-10-02,Germany,4643.02,143.72,20.81,1851.43,11722.52,4942.26,1265.11,3933.17,30.78,576.46,305.75,163.0,1899.87,0.0,7029.09,20781.62
2,2,2022-10-03,Germany,4687.64,116.35,20.81,3115.96,9720.73,5141.69,1250.5,4026.6,30.78,563.72,305.75,10.25,1594.29,0.0,4574.71,17158.13
3,3,2022-10-04,Germany,4724.52,340.49,20.81,7130.02,12850.18,5169.15,1270.88,4016.61,30.78,445.88,305.75,160.25,1594.29,0.0,2701.76,6068.04
4,4,2022-10-05,Germany,4696.41,196.08,20.81,3892.87,12188.09,6579.45,1263.57,3957.9,30.78,455.44,305.75,10.0,1594.29,0.0,5751.48,18329.07
5,5,2022-10-06,Germany,4646.12,244.67,20.81,3622.87,7443.85,5874.72,1290.48,3903.44,30.78,464.99,305.75,32.25,2194.16,0.0,4944.64,25309.36
6,6,2022-10-07,Germany,4716.52,118.74,20.81,7158.83,13358.84,5398.81,1278.95,4040.59,30.78,484.1,305.75,297.25,2159.26,0.0,5347.69,10133.76
7,7,2022-10-08,Germany,4729.68,130.72,20.81,4515.96,12369.37,5374.33,1328.92,4031.1,30.78,480.92,305.75,24.75,2085.0,0.0,3611.7,17475.65
8,8,2022-10-09,Germany,4751.86,146.12,20.81,3465.72,13627.62,6699.49,1148.25,4056.58,30.78,479.32,307.34,312.25,1970.37,0.0,2145.85,7741.81
9,9,2022-10-10,Germany,4973.4,45.51,20.81,4146.92,11595.61,5207.67,1145.94,4053.08,30.78,487.29,308.93,16.25,1849.23,0.0,4552.22,18301.27
10,10,2022-10-11,Germany,4973.4,110.19,20.81,6170.02,13993.61,5739.57,1043.3,4039.34,30.78,480.92,305.75,28.0,1877.97,0.0,4832.2,11457.45
11,11,2022-10-12,Germany,4555.08,76.31,20.81,9575.5,13140.24,9360.67,1054.45,4036.09,30.78,480.92,305.75,18.75,1911.51,0.0,1085.31,1518.76
12,12,2022-10-13,Germany,4557.66,80.42,20.81,9332.4,13547.48,6724.39,1050.61,4035.34,30.78,487.29,305.75,13.25,1905.69,0.0,1824.42,8263.17
13,13,2022-10-14,Germany,4575.19,257.67,20.81,8058.59,14565.59,8672.55,1021.39,4026.6,30.78,484.1,305.75,1.0,1902.61,0.0,1363.26,3839.85
14,14,2022-10-15,Germany,4973.4,45.85,20.81,4428.11,13242.18,6251.03,921.83,4018.86,30.78,493.66,305.75,38.25,1886.19,0.0,2248.44,8178.53
15,15,2022-10-16,Germany,4973.4,31.82,20.81,2580.48,10410.41,6091.82,950.66,4008.61,30.78,487.29,305.75,12.0,1873.18,0.0,5221.59,15922.08
16,16,2022-10-17,Germany,4611.04,45.85,20.81,2152.39,14394.28,5810.44,951.04,4004.37,30.78,493.66,305.75,31.0,1617.56,0.0,1632.63,11055.29
17,17,2022-10-18,Germany,4600.47,56.46,20.81,5432.63,11828.66,9376.21,966.42,3996.37,30.78,480.92,305.75,165.5,1547.75,0.0,4246.71,4414.55
18,18,2022-10-19,Germany,4781.0,38.33,20.81,3148.1,12146.57,8768.33,959.12,4016.61,30.78,480.92,305.75,159.5,1589.5,0.0,2858.18,6462.44
19,19,2022-10-20,Germany,4775.84,40.04,20.81,2925.72,10896.21,5684.02,933.75,4043.84,30.78,490.47,305.75,156.5,1575.81,0.0,5393.42,18278.98
20,20,2022-10-21,Germany,4930.07,162.54,20.81,2609.53,12001.02,5615.69,1184.0,3722.57,30.78,536.65,324.86,447.5,1547.41,0.0,2160.5,14189.97
21,21,2022-10-22,Germany,4928.0,23.27,20.81,2278.58,12435.32,8283.05,1250.89,4001.62,30.78,528.69,324.86,20.5,1624.41,0.0,854.85,8228.36
22,22,2022-10-23,Germany,4924.65,50.3,20.81,1421.19,11124.79,7883.33,1253.96,4001.62,30.78,480.92,305.75,287.5,1777.71,0.0,1512.1,6849.58
23,23,2022-10-24,Germany,4910.98,86.92,20.81,2332.86,11722.52,6017.54,1229.75,4001.62,30.78,490.47,305.75,166.75,1561.78,0.0,4568.39,21231.87
24,24,2022-10-25,Germany,4893.96,25.67,20.81,2658.58,7688.46,7415.92,1228.59,4001.62,30.78,530.28,324.86,156.75,2207.85,0.0,5137.7,21144.22
25,25,2022-10-26,Germany,4907.37,138.59,20.81,1875.24,13377.23,10082.21,1258.19,4001.62,30.78,522.32,324.86,204.25,2279.71,0.0,1199.27,5692.42
26,26,2022-10-27,Germany,4938.06,72.2,20.81,1988.1,13509.65,6872.75,1248.97,4001.62,30.78,496.84,305.75,359.75,2128.46,0.0,2967.6,9875.33
27,27,2022-10-28,Germany,4960.76,195.39,20.81,1645.96,13866.71,5705.09,1220.14,4001.62,30.78,515.95,306.54,243.0,2117.51,0.0,2725.77,14435.38
28,28,2022-10-29,Germany,4923.62,20.87,20.81,2050.96,10838.41,7669.42,1204.76,4001.62,30.78,538.24,316.1,285.75,1953.94,0.0,1515.38,10223.16
29,29,2022-10-30,Germany,4957.15,37.3,20.81,1509.05,11853.88,5585.47,1157.48,3091.02,30.78,582.83,305.75,57.0,1744.52,0.0,1743.82,9592.37
30,30,2022-10-31,Germany,4987.32,79.73,20.81,1765.48,12708.83,8207.49,1249.35,3541.95,30.78,697.49,401.3,421.5,1857.44,0.0,2055.38,6578.38
31,31,2022-11-01,Germany,4977.78,44.83,20.81,2095.01,8733.89,6139.49,1050.22,3871.21,30.78,764.37,353.52,242.75,1874.21,0.0,5373.96,16130.43
32,32,2022-11-02,Germany,4952.76,65.7,20.81,2368.1,11722.52,5988.58,1162.47,4003.87,30.78,566.91,315.3,174.5,1640.83,0.0,5810.11,22916.65
33,33,2022-11-03,Germany,4991.45,33.88,20.81,1900.0,9388.1,6674.57,1237.82,4012.86,30.78,717.39,329.64,218.75,1742.46,0.0,5812.13,19163.2
34,34,2022-11-04,Germany,5056.44,34.56,20.81,2335.48,13838.33,6507.92,1212.83,4009.86,30.78,805.77,363.08,135.5,1749.31,0.0,3794.65,20065.69
35,35,2022-11-05,Germany,5083.52,53.38,20.81,4112.39,14086.36,7736.45,1197.84,4032.1,30.78,757.2,344.76,369.75,2051.13,0.0,3038.85,9209.98
36,36,2022-11-06,Germany,5057.47,44.14,20.81,3971.44,11722.52,5794.25,1225.13,4012.86,30.78,566.91,316.89,1.75,1613.46,0.0,5206.94,19628.72
37,37,2022-11-07,Germany,5005.12,33.88,20.81,3699.06,11722.52,6084.79,1187.08,3994.12,30.78,570.09,318.49,162.75,1601.14,0.0,5241.3,24717.88
38,38,2022-11-08,Germany,5059.28,97.18,20.81,3421.91,9649.0,7223.07,1126.34,3995.12,30.78,625.03,347.95,169.5,1589.16,0.0,6012.77,19322.96
39,39,2022-11-09,Germany,5051.02,58.86,20.81,4259.53,8368.16,7263.94,1152.48,3980.88,30.78,638.57,356.71,176.0,1502.24,0.0,4833.46,24068.56
40,40,2022-11-10,Germany,4999.7,79.39,20.81,3731.68,12052.25,7078.98,1126.34,3976.64,30.78,732.52,334.41,168.75,1740.07,0.0,5326.21,20007.84
41,41,2022-11-11,Germany,5051.02,90.0,20.81,4562.15,9394.67,6634.99,1052.15,3994.12,30.78,570.09,318.49,189.75,1710.98,0.0,5509.15,20133.05
42,42,2022-11-12,Germany,5087.65,205.32,20.81,5371.68,15233.2,6221.01,1041.38,4000.62,30.78,735.71,401.3,181.75,1632.96,0.0,4876.42,8402.9
43,43,2022-11-13,Germany,5098.48,309.69,20.81,6252.16,14731.11,6152.26,1090.2,3998.12,30.78,614.68,401.3,152.75,1559.39,0.0,179.66,6670.78
44,44,2022-11-14,Germany,4999.19,75.28,20.81,5222.63,15409.24,6812.07,1157.48,3988.63,30.78,613.88,401.3,159.0,1472.47,0.0,5155.64,14161.67
45,45,2022-11-15,Germany,5021.88,119.77,20.81,7695.5,15532.72,6547.29,1157.48,3971.64,30.78,611.5,340.78,114.5,1701.06,0.0,2040.73,15974.17
46,46,2022-11-16,Germany,5040.19,107.79,20.81,5106.2,15586.06,7981.86,1157.48,3949.41,30.78,525.51,343.97,163.5,1555.63,0.0,5147.55,17693.01
47,47,2022-11-17,Germany,4920.53,165.28,20.81,4995.25,8104.37,6994.48,1157.48,3947.16,30.78,535.06,343.97,195.0,1586.77,0.0,3849.48,28203.9
48,48,2022-11-18,Germany,4892.16,95.47,20.81,6588.59,14141.53,7690.9,1164.4,3939.91,30.78,570.09,360.69,276.5,1474.18,0.0,5490.45,15060.66
49,49,2022-11-19,Germany,4872.81,19.16,20.81,10463.84,14797.59,7054.07,1105.2,3946.16,30.78,669.62,407.67,273.25,1747.25,0.0,4987.35,8134.45
50,50,2022-11-20,Germany,4929.81,40.38,20.81,10478.12,14939.99,6577.73,1139.02,3947.16,30.78,678.38,410.85,113.25,1594.29,0.0,714.61,3776.75
51,51,2022-11-21,Germany,5000.73,58.17,20.81,8532.88,15031.42,6256.12,1159.4,3933.42,30.78,789.85,401.3,160.25,1470.42,0.0,78.33,10045.87
52,52,2022-11-22,Germany,4873.85,28.74,20.81,5061.44,14396.39,6537.29,1150.17,3902.94,30.78,789.85,396.52,220.0,1667.52,0.0,6041.57,17418.06
53,53,2022-11-23,Germany,5003.83,17.45,20.81,6746.68,14107.9,7076.85,1302.79,3894.95,30.78,754.82,403.68,177.25,1739.38,0.0,5964.25,15433.28
54,54,2022-11-24,Germany,4976.75,24.98,20.81,6069.06,14970.99,6237.39,1269.72,3872.96,30.78,783.48,414.03,162.5,1776.0,0.0,4965.87,16860.14
55,55,2022-11-25,Germany,4955.34,68.78,20.81,11253.36,13034.36,7269.68,1288.56,3887.2,30.78,727.74,392.54,134.5,1854.71,0.0,4955.76,10439.77
56,56,2022-11-26,Germany,4974.43,94.1,20.81,12874.79,13774.23,6867.84,1303.17,3866.22,30.78,633.79,356.71,77.25,1728.78,0.0,2188.55,10000.79
57,57,2022-11-27,Germany,4960.76,170.07,20.81,8116.93,12184.41,6357.23,1298.17,3863.22,30.78,626.63,355.91,164.25,1498.82,0.0,3744.62,9388.53
58,58,2022-11-28,Germany,4966.17,123.19,20.81,6985.97,13646.01,6334.03,1042.54,3648.87,30.78,626.63,356.71,242.5,1437.57,0.0,5227.66,18040.34
59,59,2022-11-29,Germany,4987.07,43.8,20.81,13866.46,13691.99,11685.76,1157.48,3844.98,30.78,1058.97,495.25,204.5,1686.0,0.0,1841.35,4249.03
60,60,2022-11-30,Germany,4970.04,82.13,20.81,13622.89,15277.08,13467.68,1181.69,3839.24,30.78,1027.92,484.1,189.0,1766.76,0.0,748.97,2259.24
61,61,2022-12-01,Germany,4943.74,118.06,20.81,14314.08,15202.46,11895.2,1230.52,3647.37,30.78,834.44,386.96,197.25,1714.06,0.0,1294.79,2497.13
62,62,2022-12-02,Germany,4916.66,61.6,20.81,13905.51,15638.34,13049.24,1209.37,3687.34,30.78,1095.6,504.8,172.5,1540.91,0.0,1905.79,3355.8
63,63,2022-12-03,Germany,4977.52,45.51,20.81,12451.94,12173.37,10454.04,1235.9,3698.59,30.78,1019.16,525.51,54.25,1515.59,0.0,6238.17,10729.0
64,64,2022-12-04,Germany,4982.94,26.01,20.81,11578.84,12776.88,11092.78,1056.37,3585.92,30.78,977.76,503.21,239.5,1306.51,0.0,4861.51,6322.21
65,65,2022-12-05,Germany,4951.73,33.54,20.81,10662.88,14966.79,9092.48,1108.66,3564.93,30.78,977.76,435.53,203.75,1242.17,0.0,4320.75,8482.28
66,66,2022-12-06,Germany,4886.22,44.14,20.81,13345.51,15229.26,11289.45,1091.36,3780.03,30.78,1070.12,477.73,160.25,1633.99,0.0,3119.97,3725.91
67,67,2022-12-07,Germany,4912.53,118.74,20.81,11918.84,14396.65,10762.66,1201.68,3601.41,30.78,1063.75,484.1,115.5,1526.54,0.0,5070.48,11381.32
68,68,2022-12-08,Germany,4832.84,194.03,20.81,13654.56,14759.49,11625.53,1213.98,3596.91,30.78,1167.26,523.91,219.75,1332.17,0.0,3137.66,10356.38
69,69,2022-12-09,Germany,4950.19,60.23,20.81,13640.51,14485.45,13204.62,1164.01,3552.19,30.78,1178.4,522.32,262.25,1483.42,0.0,2287.61,1499.48
70,70,2022-12-10,Germany,5051.28,19.85,20.81,13268.37,13137.62,12784.89,1185.92,3615.15,30.78,1194.33,531.88,301.5,1556.65,0.0,2110.72,1930.19
71,71,2022-12-11,Germany,5051.02,46.88,20.81,12755.51,13992.56,11834.54,1180.93,3751.8,30.78,1190.35,525.51,240.75,1320.19,0.0,1957.09,1343.97
72,72,2022-12-12,Germany,5008.47,91.71,20.81,11938.12,14441.84,13383.83,1202.84,3741.06,30.78,1175.22,528.69,158.75,1269.21,0.0,1723.35,2601.3
73,73,2022-12-13,Germany,4990.16,43.8,20.81,13348.6,15077.66,15540.78,1204.76,3737.31,30.78,1124.26,506.4,257.0,1445.78,0.0,1578.81,4366.97
74,74,2022-12-14,Germany,4982.42,52.01,20.81,12804.32,15607.86,13150.98,1108.27,3723.57,30.78,1246.08,528.69,166.0,1529.62,0.0,4618.67,11726.65
75,75,2022-12-15,Germany,5019.56,32.51,20.81,12362.65,14684.34,14388.24,1171.32,3708.58,30.78,965.02,404.48,162.0,1556.31,0.0,3852.52,6959.26
76,76,2022-12-16,Germany,5032.71,93.76,20.81,11464.08,15044.56,13902.1,1119.8,3688.34,30.78,1006.42,407.67,165.5,1702.09,0.0,3510.37,5450.52
77,77,2022-12-17,Germany,5024.2,42.43,20.81,11829.31,15073.98,12878.11,1100.58,3684.1,30.78,1007.22,411.65,107.25,1589.84,0.0,2705.81,1546.06
78,78,2022-12-18,Germany,5035.81,68.78,20.81,9900.5,12643.41,10071.56,1142.1,3678.6,30.78,875.84,417.22,236.0,1294.87,0.0,5634.99,8208.08
79,79,2022-12-19,Germany,5018.27,61.6,20.81,4859.54,10426.44,8341.57,1173.24,3661.86,30.78,843.99,414.03,273.25,1353.39,0.0,5977.39,19485.23
80,80,2022-12-20,Germany,4971.85,119.77,20.81,4786.44,9595.4,7991.87,1130.57,3637.88,30.78,652.9,347.15,283.75,1318.14,0.0,5115.21,27243.31
81,81,2022-12-21,Germany,5078.1,11.64,20.81,8057.88,12051.2,7816.48,1132.49,3632.13,30.78,815.33,305.75,185.75,1345.52,0.0,2431.13,16137.69
82,82,2022-12-22,Germany,4974.17,33.54,20.81,5357.16,13280.54,6377.45,1180.16,3611.9,30.78,807.37,398.11,163.25,1452.28,0.0,4791.51,18142.01
83,83,2022-12-23,Germany,5034.0,33.54,20.81,6255.25,13315.49,6976.39,1235.51,3588.42,30.78,964.22,461.81,230.0,1519.01,0.0,1903.52,12101.02
84,84,2022-12-24,Germany,5043.29,39.01,20.81,2062.86,9178.18,6064.14,1238.97,3562.68,30.78,716.6,345.56,7.5,2328.65,0.0,1826.7,20053.92
85,85,2022-12-25,Germany,5088.94,71.52,20.81,2267.15,10622.7,6115.87,1259.35,3578.67,30.78,678.38,347.15,10.5,2132.23,0.0,3031.53,9495.71
86,86,2022-12-26,Germany,5051.54,68.78,20.81,2440.96,11722.52,5957.3,1260.88,3553.69,30.78,684.75,347.15,91.25,1893.37,0.0,2441.24,18539.16
87,87,2022-12-27,Germany,4935.23,152.62,20.81,3479.77,11722.52,5981.77,1243.2,3553.94,30.78,687.93,349.54,338.0,1854.71,0.0,6235.13,22940.19
88,88,2022-12-28,Germany,5026.01,43.12,20.81,3357.63,11722.52,6089.05,1157.48,3546.2,30.78,687.93,347.15,78.5,1915.96,0.0,5484.39,26386.64
89,89,2022-12-29,Germany,4931.1,58.86,20.81,2261.67,11722.52,6001.36,1134.79,3516.72,30.78,662.45,347.15,514.0,1778.39,0.0,4271.22,28352.39
90,90,2022-12-30,Germany,4898.86,35.25,20.81,3818.82,11722.52,5817.03,1154.78,3494.73,30.78,668.83,347.15,184.75,1694.21,0.0,4355.12,26326.79
91,91,2022-12-31,Germany,4920.27,31.48,20.81,2465.24,11722.52,5792.56,1154.4,3414.04,30.78,672.01,347.15,1.0,1677.45,0.0,4006.41,28356.15
